quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
4.91538,0,4.99996,3.5602e-05,5,0,4.99996,3.5602e-05
4.91533,0.0234634,4.99995,4.32255e-05,4.99994,0.0238673,4.99995,4.32255e-05
4.91514,0.0483738,4.99994,5.1041e-05,4.99976,0.0492066,4.99994,5.1041e-05
4.91484,0.0726702,4.99992,6.0916e-05,4.99945,0.0739212,4.99992,6.0916e-05
4.91442,0.097278,4.99989,7.52966e-05,4.99902,0.0989527,4.99989,7.52966e-05
4.91386,0.122121,4.99983,0.000100561,4.99846,0.124223,4.99987,8.8433e-05
4.9132,0.146446,4.99943,0.000340546,4.99778,0.148968,4.99985,9.82252e-05
4.9124,0.171224,4.99898,0.000679926,4.99697,0.174171,4.99984,0.000103781
4.91148,0.195875,4.99837,0.00120323,4.99603,0.199247,4.99983,0.000110202
4.91045,0.220129,4.99761,0.00193029,4.99498,0.223918,4.99981,0.000118136
4.90922,0.246034,4.99671,0.00290441,4.99373,0.250269,4.9998,0.000128605
4.90799,0.269482,4.99568,0.00417641,4.99248,0.274121,4.99977,0.000143025
4.90657,0.294122,4.9945,0.00580236,4.99104,0.299185,4.99974,0.000163449
4.90504,0.318751,4.9932,0.00784237,4.98948,0.324238,4.99971,0.000192757
4.9034,0.343035,4.99177,0.0103603,4.98781,0.34894,4.99966,0.000234749
4.90156,0.368377,4.99025,0.0134235,4.98594,0.374719,4.9996,0.000294341
4.89966,0.392762,4.98863,0.0171006,4.98401,0.399524,4.99952,0.000377561
4.89769,0.416668,4.98694,0.021461,4.982,0.423841,4.99942,0.000491805
4.89551,0.441558,4.9852,0.0265729,4.97978,0.44916,4.99929,0.000645673
4.89324,0.465999,4.98342,0.0325034,4.97748,0.474021,4.99914,0.000849463
4.89079,0.491034,4.98163,0.0393177,4.97499,0.499487,4.99895,0.00111556
4.88829,0.515378,4.97983,0.0470765,4.97244,0.52425,4.99873,0.001458
4.8857,0.539406,4.97804,0.055835,4.9698,0.548692,4.99847,0.00189247
4.88284,0.564649,4.97627,0.0656453,4.9669,0.574369,4.99817,0.00243671
4.88,0.588689,4.97454,0.0765545,4.96401,0.598823,4.99782,0.00311098
4.8768,0.614642,4.97334,0.084867,4.96076,0.625223,4.99742,0.00393797
4.87391,0.637179,4.97116,0.101828,4.95781,0.648148,4.99697,0.0049429
4.8707,0.661238,4.9695,0.11626,4.95455,0.672621,4.99646,0.00615433
4.8673,0.685867,4.96786,0.131928,4.95109,0.697674,4.99589,0.00760427
4.86381,0.710159,4.96621,0.148851,4.94754,0.722384,4.99525,0.00932796
4.86015,0.734792,4.96453,0.167045,4.94382,0.747441,4.99455,0.0113653
4.85641,0.759113,4.96278,0.186521,4.94001,0.772181,4.99378,0.0137606
4.8526,0.78312,4.96093,0.207281,4.93613,0.796601,4.99293,0.0165624
4.84865,0.807175,4.95894,0.229312,4.93212,0.821071,4.992,0.0198231
4.8445,0.831754,4.95675,0.252586,4.9279,0.846073,4.99099,0.0235995
