time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.84149,-0.358827,3.29222,2.84088,-0.353258,3.33298,2.96797,-0.432562,2.64,2.90756,-0.436926,2.67316,-0.327236,-1.91077,-0.0394097,-0.393696,-1.93537,0.127109,-0.349784,-2.29804,0,-0.418322,-2.25541,0.165201
0.00994237,2.83818,-0.377564,3.29182,2.83686,-0.372569,3.33417,2.96444,-0.455093,2.64,2.90334,-0.459417,2.67473,-0.344776,-1.90218,-0.0411718,-0.408888,-1.92673,0.110428,-0.368442,-2.28688,0,-0.426352,-2.24272,0.150284
0.0200158,2.83453,-0.397153,3.29138,2.8327,-0.39179,3.33519,2.96053,-0.478639,2.64,2.89903,-0.481779,2.67616,-0.36319,-1.89268,-0.0429659,-0.424162,-1.91751,0.0943478,-0.388016,-2.27454,0,-0.434416,-2.22958,0.135927
0.0299997,2.83089,-0.415649,3.29096,2.82838,-0.410917,3.33606,2.95664,-0.500862,2.64,2.89465,-0.504007,2.67745,-0.380655,-1.88321,-0.0446127,-0.439557,-1.90772,0.0788631,-0.406566,-2.26225,0,-0.442522,-2.21597,0.122134
0.0400035,2.82701,-0.434341,3.2905,2.82391,-0.429943,3.33677,2.9525,-0.523312,2.64,2.89018,-0.526097,2.67861,-0.398386,-1.87313,-0.0462279,-0.455099,-1.89734,0.06395,-0.425385,-2.24921,0,-0.450679,-2.20192,0.108892
0.0499994,2.82291,-0.453141,3.29003,2.81928,-0.448862,3.33734,2.94812,-0.545882,2.64,2.88564,-0.548044,2.67963,-0.416307,-1.86247,-0.0478007,-0.470799,-1.88632,0.0495984,-0.44439,-2.23543,0,-0.458898,-2.1874,0.0962013
0.0600209,2.81869,-0.471582,3.28955,2.81449,-0.467667,3.33777,2.94362,-0.568009,2.64,2.88101,-0.569843,2.68053,-0.433976,-1.8515,-0.0492909,-0.486684,-1.87464,0.0357698,-0.463111,-2.22127,0,-0.467186,-2.17243,0.0840373
0.0700189,2.81424,-0.490108,3.28905,2.80954,-0.486352,3.33806,2.93887,-0.59023,2.64,2.87629,-0.591491,2.68132,-0.451822,-1.83994,-0.0507334,-0.50282,-1.86228,0.0224546,-0.482005,-2.20639,0,-0.475554,-2.15699,0.0724073
0.079936,2.80969,-0.508229,3.28854,2.80443,-0.50491,3.33822,2.93402,-0.611956,2.64,2.87149,-0.612981,2.68198,-0.469376,-1.82811,-0.0520894,-0.519222,-1.84922,0.00936998,-0.500574,-2.19119,0,-0.483987,-2.14115,0.0610471
0.0900026,2.80482,-0.526771,3.288,2.79916,-0.523334,3.33825,2.92883,-0.634175,2.64,2.86661,-0.634312,2.68254,-0.487443,-1.81546,-0.0534184,-0.535951,-1.83536,-0.00351968,-0.519668,-2.17495,0,-0.492495,-2.12489,0.0499531
