time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,0,0,2.66845,2,0,2.62525,0,0,2,2,0,1.95681,2.29518,1.98071,0,0,0,-0.0662035,2.4,2.4,0,0,0,-0.0662035
0.0100715,0.023125,0.019956,2.66843,2,0,2.6246,0.0241811,0.0241803,2,2,0,1.95615,2.29511,1.98048,-0.00281487,0,0,-0.0628508,2.39992,2.39969,0,0,0,-0.0628508
0.0199688,0.0459809,0.0396764,2.66839,2,0,2.62406,0.0480807,0.0480745,2,2,0,1.95561,2.29491,1.9798,-0.00559335,0,0,-0.0414433,2.39969,2.39877,0,0,0,-0.0414433
0.029967,0.0688024,0.0593604,2.66832,2,-8.59853e-12,2.62385,0.071944,0.0719233,2,2,-6.18696e-17,1.9554,2.29458,1.97867,-0.00836049,-1.91183e-06,-9.92898e-09,0.00249195,2.39931,2.39724,0,-2.04208e-11,-1.16851e-13,0.00249195
0.0402126,0.0924733,0.0797664,2.66822,2,1.97648e-07,2.62413,0.0966951,0.0966449,2,2,1.00492e-11,1.95569,2.29409,1.97702,-0.0112193,-0.000608586,0.000100504,0.0530034,2.39875,2.39501,0,-7.06168e-08,6.96144e-09,0.0530035
0.049987,0.115038,0.0992055,2.66809,1.99998,6.4597e-06,2.6248,0.120289,0.120193,2,2,1.12237e-09,1.95636,2.2935,1.975,-0.0139301,-0.00461956,0.001602,0.0775268,2.39807,2.39228,0,-1.72362e-06,3.79136e-07,0.0775269
0.0600714,0.138017,0.118984,2.66794,1.99989,4.66127e-05,2.62565,0.144315,0.144148,2,2,1.76107e-08,1.9572,2.29276,1.97249,-0.0166728,-0.0143548,0.00736761,0.091034,2.39722,2.38889,0,-1.17601e-05,3.99256e-06,0.0910369
0.0700167,0.161218,0.138933,2.66776,1.99967,0.000174551,2.62663,0.168573,0.168307,2,2,1.24071e-07,1.95818,2.29187,1.96949,-0.0194201,-0.0309966,0.0192212,0.105145,2.39621,2.38484,0,-4.69803e-05,2.09017e-05,0.105165
0.0799834,0.183738,0.158273,2.66756,1.99925,0.000443558,2.62773,0.192117,0.191723,2,2,5.34623e-07,1.95928,2.29088,1.96613,-0.0220622,-0.0519191,0.0348495,0.112852,2.39507,2.38032,0,-0.000128902,6.71837e-05,0.112933
0.0900106,0.206729,0.177991,2.66732,1.99863,0.000875695,2.62884,0.216154,0.215592,2,2,1.60861e-06,1.9604,2.28974,1.96224,-0.0247315,-0.073919,0.0519963,0.108116,2.39376,2.37508,0,-0.000273901,0.00015692,0.108335
0.100039,0.229701,0.197661,2.66706,1.99776,0.00149578,2.6299,0.240169,0.239398,2,1.99999,3.92075e-06,1.96146,2.28846,1.95789,-0.0273666,-0.0989971,0.0727056,0.103704,2.3923,2.36924,0,-0.000524013,0.000320747,0.104194
0.110067,0.25287,0.217465,2.66677,1.99664,0.00234356,2.63092,0.264388,0.263359,2,1.99999,8.38493e-06,1.96249,2.28703,1.95304,-0.0299887,-0.126858,0.0975801,0.101527,2.39066,2.36272,0,-0.000922822,0.000593622,0.102497
0.120022,0.275904,0.237116,2.66645,1.99522,0.00346203,2.63193,0.288466,0.287129,2,1.99997,1.62932e-05,1.96351,2.28547,1.94775,-0.0325567,-0.156569,0.126918,0.101594,2.38888,2.35562,0,-0.00151868,0.00101774,0.103345
0.129945,0.298108,0.256019,2.66612,1.9935,0.00489761,2.63296,0.311673,0.309987,2,1.99995,2.9412e-05,1.96456,2.28383,1.94221,-0.0349925,-0.187286,0.161009,0.103856,2.38701,2.34819,0,-0.00236552,0.0016446,0.106802
0.139943,0.321183,0.275619,2.66576,1.99147,0.00669862,2.63402,0.33579,0.33368,2,1.99993,5.00595e-05,1.96566,2.282,1.93599,-0.0374796,-0.218189,0.200036,0.107965,2.38492,2.33986,0,-0.00351948,0.00253436,0.112644
0.150031,0.343944,0.294905,2.66537,1.98914,0.00891498,2.63512,0.359577,0.356985,2,1.99988,8.1197e-05,1.96682,2.28005,1.92939,-0.0398858,-0.248392,0.244083,0.113387,2.3827,2.33104,0,-0.00503516,0.0037544,0.120475
0.159994,0.366786,0.314207,2.66496,1.98651,0.011597,2.63629,0.383446,0.380301,2,1.99982,0.000126495,1.96807,2.27795,1.92231,-0.0422504,-0.277203,0.293145,0.11954,2.38032,2.32158,0,-0.00696376,0.00537902,0.129863
0.170008,0.389911,0.333693,2.66452,1.9836,0.0147945,2.63751,0.407609,0.403829,2,1.99974,0.000190397,1.96942,2.27569,1.91466,-0.0445904,-0.304116,0.347149,0.125844,2.37774,2.31139,0,-0.00935132,0.00748876,0.14039
