time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,0,0,2.66845,2,0,2.63055,0,0,2,0,0,0,2.29518,1.98071,0,0,0,-0.0662087,2.4,2.4,0,0,0,0
0.00998882,0.0229237,0.0197823,2.66843,2,0,2.62757,0.0239706,0.0239698,2,2,0,1.95912,2.29511,1.98049,-0.00279037,0,0,-0.0662058,2.39992,2.39969,0,0,0,-0.0662058
0.0199884,0.0458842,0.039593,2.66839,2,0,2.62691,0.0479795,0.0479734,2,2,0,1.95846,2.29491,1.9798,-0.00558161,0,0,-0.0662051,2.39969,2.39877,0,0,0,-0.0662051
0.0300225,0.0690287,0.0595556,2.66832,2,0,2.62624,0.0721807,0.0721598,2,2,0,1.9578,2.29457,1.97866,-0.00838789,0,0,-0.0662045,2.39931,2.39722,0,0,0,-0.0662045
0.0399113,0.0918586,0.0792366,2.66822,2,0,2.62558,0.0960523,0.0960031,2,2,0,1.95714,2.29411,1.97707,-0.0111452,0,0,-0.0662038,2.39877,2.39508,0,0,0,-0.0662038
0.0500072,0.114958,0.0991363,2.6681,2,0,2.62505,0.120205,0.120109,2,2,0,1.95661,2.2935,1.97501,-0.0139205,0,0,-0.0662033,2.39807,2.39229,0,0,0,-0.0662033
0.0599624,0.137611,0.118635,2.66794,2,0,2.62505,0.143891,0.143725,2,2,0,1.95661,2.29277,1.97254,-0.0166245,0,0,-0.0662033,2.39724,2.38896,0,0,0,-0.0662033
0.0700178,0.16071,0.138497,2.66776,2,0,2.6236,0.168042,0.167778,2,2,0,1.95515,2.29189,1.96956,-0.0193602,0,0,-0.0662019,2.39623,2.38494,0,0,0,-0.0662019
0.0799289,0.183689,0.158231,2.66756,2,0,2.62294,0.192066,0.191672,2,2,0,1.9545,2.29089,1.96613,-0.0220565,0,0,-0.0628491,2.39508,2.38033,0,0,0,-0.0628491
0.0900002,0.206757,0.178015,2.66732,2,0,2.6224,0.216183,0.215621,2,2,0,1.95396,2.28974,1.96223,-0.0247347,0,0,-0.0414417,2.39376,2.37507,0,0,0,-0.0414417
0.09994,0.229365,0.197374,2.66706,2,-9.12701e-12,2.62219,0.239818,0.23905,2,2,-6.80286e-17,1.95375,2.28848,1.95796,-0.0273283,-2.00398e-06,-1.08292e-08,0.00247508,2.39232,2.36933,0,-2.2102e-11,-1.26018e-13,0.00247508
0.110026,0.25265,0.217277,2.66677,2,1.91384e-07,2.62247,0.264158,0.263132,2,2,9.57383e-12,1.95403,2.28704,1.95309,-0.0299639,-0.000613924,9.79151e-05,0.0527863,2.39068,2.36278,0,-7.15719e-08,6.68081e-09,0.0527863
0.120091,0.27616,0.237334,2.66645,1.99998,6.34763e-06,2.62314,0.288733,0.287392,2,2,1.09275e-09,1.9547,2.28545,1.94769,-0.032585,-0.00463123,0.00157881,0.0769313,2.38886,2.35554,0,-1.72961e-06,3.70178e-07,0.0769315
0.129982,0.298289,0.256173,2.66612,1.99989,4.60271e-05,2.62398,0.311863,0.310173,2,2,1.72571e-08,1.95554,2.28382,1.94217,-0.0350123,-0.014364,0.00728988,0.0900282,2.387,2.34813,0,-1.1757e-05,3.92014e-06,0.0900311
0.139962,0.321146,0.275587,2.66576,1.99967,0.00017277,2.62495,0.335751,0.333642,2,2,1.22011e-07,1.9565,2.282,1.936,-0.0374757,-0.0310071,0.0190547,0.103766,2.38492,2.33988,0,-4.69051e-05,2.05881e-05,0.103787
0.149941,0.343892,0.294861,2.66537,1.99925,0.00043973,2.62603,0.359523,0.356932,2,2,5.27296e-07,1.95759,2.28005,1.92941,-0.0398803,-0.051979,0.0346407,0.111511,2.3827,2.33106,0,-0.000128983,6.6495e-05,0.111591
0.160057,0.367421,0.314743,2.66495,1.99863,0.00087002,2.62713,0.384109,0.380948,2,2,1.59266e-06,1.95869,2.27789,1.92211,-0.0423153,-0.0732854,0.0518131,0.106941,2.38025,2.32131,0,-0.000274201,0.000155658,0.107158
0.169977,0.389773,0.333577,2.66452,1.99778,0.00148722,2.62817,0.407465,0.403689,2,1.99999,3.87681e-06,1.95973,2.27571,1.91471,-0.0445766,-0.0955454,0.0723177,0.101162,2.37776,2.31145,0,-0.000519522,0.000316113,0.101636
0.180004,0.412561,0.35272,2.66406,1.99671,0.00233074,2.62916,0.431274,0.426794,2,1.99999,8.27442e-06,1.96073,2.27334,1.9067,-0.0468271,-0.119023,0.0971463,0.0980871,2.37507,2.3008,0,-0.000908274,0.000584875,0.0990013
0.189977,0.435237,0.371708,2.66359,1.9954,0.0034455,2.63014,0.454963,0.449701,2,1.99997,1.60762e-05,1.96172,2.27084,1.89827,-0.0490089,-0.143209,0.126632,0.0978354,2.37224,2.2896,0,-0.00148365,0.00100515,0.0994498
0.200093,0.458515,0.391132,2.66307,1.99385,0.00487956,2.63113,0.47928,0.473124,2,1.99996,2.90515e-05,1.96273,2.26813,1.88913,-0.0511864,-0.167353,0.161014,0.100111,2.36917,2.27749,0,-0.00229049,0.00162864,0.102776
0.209949,0.480463,0.409379,2.66257,1.99206,0.00668228,2.63215,0.502204,0.495117,2,1.99993,4.95187e-05,1.96378,2.26544,1.88006,-0.0531793,-0.190675,0.200368,0.104231,2.36613,2.26549,0,-0.00337119,0.00251383,0.1084
