time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.84155,-0.358476,2.65222,2.84167,-0.352151,2.68863,2.96803,-0.43214,2,2.90985,-0.434333,2.02877,-0.326908,-1.91093,-0.0393763,-0.390256,-1.9348,0.111772,-0.349436,-2.29825,0,-0.413279,-2.26553,0.150585
0.010005,2.83811,-0.377986,2.65181,2.83769,-0.371456,2.68967,2.96436,-0.4556,2,2.90567,-0.456926,2.03021,-0.345171,-1.90199,-0.041211,-0.405704,-1.92616,0.0962257,-0.368863,-2.28662,0,-0.421629,-2.25286,0.136926
0.0201621,2.83454,-0.397123,2.65139,2.83355,-0.390672,2.69056,2.96054,-0.478603,2,2.90142,-0.479389,2.03151,-0.363162,-1.8927,-0.0429632,-0.42125,-1.91695,0.081284,-0.387986,-2.27456,0,-0.430017,-2.2397,0.123828
0.0299214,2.83092,-0.415476,2.65096,2.82839,-0.413605,2.69143,2.95668,-0.500654,2,2.89619,-0.506168,2.03291,-0.380491,-1.8833,-0.0445974,-0.440077,-1.90512,0.064135,-0.406391,-2.26237,0,-0.440142,-2.22328,0.108849
0.0399786,2.82704,-0.434199,2.65051,2.82481,-0.428813,2.6919,2.95253,-0.523141,2,2.89265,-0.523909,2.03374,-0.398251,-1.87321,-0.0462158,-0.452741,-1.89677,0.053103,-0.425241,-2.24931,0,-0.446931,-2.21197,0.0992443
0.0499197,2.82299,-0.452784,2.65004,2.82021,-0.447726,2.69237,2.94821,-0.545452,2,2.88813,-0.545956,2.03468,-0.415966,-1.86268,-0.0477713,-0.468679,-1.88573,0.039761,-0.444027,-2.2357,0,-0.455469,-2.1974,0.0876755
0.0601367,2.81863,-0.471812,2.64954,2.81544,-0.466526,2.6927,2.94356,-0.568285,2,2.88354,-0.567855,2.0355,-0.434197,-1.85136,-0.0493091,-0.484777,-1.87404,0.0268476,-0.463345,-2.22109,0,-0.464069,-2.18237,0.076534
0.0699953,2.81429,-0.48993,2.64905,2.81051,-0.485205,2.6929,2.93892,-0.590018,2,2.87885,-0.589602,2.03621,-0.451651,-1.84005,-0.0507198,-0.501144,-1.86165,0.0144195,-0.481824,-2.20654,0,-0.47275,-2.16688,0.0658969
0.0801233,2.80957,-0.508704,2.64852,2.80542,-0.503756,2.69299,2.93389,-0.612526,2,2.87408,-0.611191,2.03682,-0.469838,-1.82779,-0.0521242,-0.517775,-1.84857,0.00217025,-0.501062,-2.19078,0,-0.481493,-2.15095,0.0554769
0.090051,2.80486,-0.526614,2.64801,2.80015,-0.522173,2.69295,2.92887,-0.633987,2,2.86922,-0.632619,2.03732,-0.48729,-1.81557,-0.0534074,-0.534757,-1.83464,-0.00981517,-0.519506,-2.17509,0,-0.490321,-2.13459,0.0453948
