time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.83832,-0.376796,3.29184,2.83439,-0.356287,3.31789,2.96459,-0.454169,2.64,2.91401,-0.435898,2.659,-0.344055,-1.90255,-0.0411004,-0.379702,-1.944,0.0420392,-0.367675,-2.28735,0,-0.423629,-2.44017,0.0966801
0.00999674,2.83476,-0.395958,3.29141,2.83051,-0.375677,3.31825,2.96078,-0.477203,2.64,2.90973,-0.460232,2.65993,-0.362064,-1.89328,-0.0428579,-0.396609,-1.934,0.0309161,-0.386819,-2.27531,0,-0.434206,-2.42657,0.0896569
0.0200215,2.83103,-0.414939,3.29097,2.82645,-0.394965,3.31851,2.95679,-0.500008,2.64,2.90533,-0.484427,2.66079,-0.379982,-1.88358,-0.0445502,-0.413672,-1.92343,0.0203109,-0.405852,-2.26274,0,-0.444784,-2.41224,0.0830668
0.0299956,2.82715,-0.433684,3.29052,2.82223,-0.414144,3.31866,2.95265,-0.522523,2.64,2.90083,-0.508475,2.66159,-0.397761,-1.8735,-0.046172,-0.430896,-1.91229,0.0101172,-0.424722,-2.24968,0,-0.45536,-2.3972,0.0768068
0.0399948,2.82309,-0.452321,3.29005,2.81784,-0.433209,3.31871,2.94832,-0.544897,2.64,2.89622,-0.532369,2.66233,-0.415523,-1.86295,-0.0477332,-0.448305,-1.90049,0.000344,-0.443558,-2.23605,0,-0.465947,-2.38145,0.0708961
0.0500689,2.81878,-0.471181,3.28956,2.81326,-0.452152,3.31867,2.94372,-0.567529,2.64,2.89151,-0.556102,2.66301,-0.433591,-1.85174,-0.0492591,-0.46593,-1.888,-0.00908893,-0.462704,-2.22159,0,-0.476547,-2.36499,0.0652673
0.0600195,2.8144,-0.489445,3.28906,2.80852,-0.470966,3.31853,2.93905,-0.589436,2.64,2.88669,-0.579666,2.66363,-0.451182,-1.84036,-0.0506828,-0.483852,-1.87478,-0.0181739,-0.481328,-2.20694,0,-0.487174,-2.34783,0.0599463
0.0699981,2.80983,-0.507699,3.28855,2.80359,-0.489645,3.3183,2.93417,-0.611321,2.64,2.88177,-0.603056,2.66421,-0.468861,-1.82847,-0.0520505,-0.502071,-1.86079,-0.027257,-0.500029,-2.19164,0,-0.4978,-2.33001,0.0546091
0.0799918,2.80506,-0.525899,3.28803,2.79847,-0.508179,3.31799,2.92908,-0.63313,2.64,2.87674,-0.626264,2.66473,-0.486591,-1.81606,-0.0533573,-0.52065,-1.84587,-0.0364073,-0.518768,-2.17573,0,-0.508433,-2.31154,0.0492312
0.0900116,2.80006,-0.544139,3.28748,2.79317,-0.526559,3.31758,2.92375,-0.654978,2.64,2.8716,-0.649284,2.66519,-0.504469,-1.80309,-0.0546078,-0.539732,-1.82989,-0.0455346,-0.537646,-2.15911,0,-0.519104,-2.2924,0.0439514
0.100003,2.79488,-0.562275,3.28693,2.78768,-0.544773,3.31708,2.91823,-0.676689,2.64,2.86635,-0.672109,2.66561,-0.522358,-1.78962,-0.0557904,-0.55956,-1.81269,-0.0540898,-0.55652,-2.1419,0,-0.529895,-2.27248,0.0393633
