time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.84114,-0.36083,3.29217,2.84441,-0.33691,3.28248,2.9676,-0.434971,2.64,2.92507,-0.368615,2.61967,-0.329108,-1.90988,-0.0396002,-0.382718,-1.88732,-0.0181658,-0.351776,-2.29688,0,-0.0492548,-2.38169,0.046066
0.00996274,2.8378,-0.379694,3.29177,2.8405,-0.355744,3.28226,2.96402,-0.457653,2.64,2.92452,-0.392396,2.62013,-0.346773,-1.90118,-0.0413693,-0.398684,-1.87938,-0.0246275,-0.370566,-2.28557,0,-0.0613264,-2.37454,0.0455911
0.0200147,2.83418,-0.398977,3.29134,2.83643,-0.374496,3.28199,2.96016,-0.48083,2.64,2.92384,-0.416103,2.62059,-0.364909,-1.89177,-0.0431304,-0.414635,-1.871,-0.030372,-0.389842,-2.27335,0,-0.0739889,-2.36662,0.0458263
0.0299877,2.83049,-0.417617,3.29091,2.83221,-0.393163,3.28166,2.95621,-0.503226,2.64,2.92304,-0.439726,2.62105,-0.382518,-1.88217,-0.0447851,-0.430556,-1.86219,-0.0355298,-0.408544,-2.26091,0,-0.0872361,-2.35794,0.0466192
0.0399728,2.82658,-0.436339,3.29045,2.82782,-0.411739,3.28128,2.95205,-0.52571,2.64,2.9221,-0.463259,2.62152,-0.400286,-1.87202,-0.0463975,-0.446426,-1.85294,-0.0402154,-0.4274,-2.24777,0,-0.101061,-2.34849,0.0478329
0.0499546,2.8225,-0.454954,3.28998,2.82328,-0.43022,3.28085,2.94769,-0.548057,2.64,2.92102,-0.486693,2.62201,-0.41804,-1.86142,-0.0479496,-0.462216,-1.84326,-0.0445015,-0.446226,-2.23407,0,-0.115459,-2.33827,0.0493691
0.0599845,2.81822,-0.473574,3.28949,2.81858,-0.448602,3.28039,2.94312,-0.5704,2.64,2.91979,-0.510022,2.62251,-0.435891,-1.85028,-0.0494487,-0.477913,-1.83315,-0.0484426,-0.465139,-2.2197,0,-0.130426,-2.32729,0.0511486
0.0699722,2.81375,-0.492119,3.28899,2.81372,-0.466882,3.27988,2.93835,-0.592642,2.64,2.91841,-0.533237,2.62303,-0.453765,-1.83865,-0.0508866,-0.493519,-1.82262,-0.0520871,-0.484061,-2.20474,0,-0.145958,-2.31555,0.0531007
0.0799754,2.80914,-0.510379,3.28848,2.80871,-0.485053,3.27935,2.93343,-0.614532,2.64,2.91687,-0.55633,2.62357,-0.471465,-1.82667,-0.0522465,-0.509027,-1.81166,-0.0554828,-0.502783,-2.18934,0,-0.162047,-2.30306,0.0551557
0.0899817,2.80434,-0.528548,3.28795,2.80354,-0.503113,3.27878,2.92832,-0.636304,2.64,2.91516,-0.579295,2.62413,-0.48918,-1.81421,-0.0535426,-0.524416,-1.80027,-0.0586472,-0.521504,-2.17336,0,-0.178691,-2.28981,0.0572697
