time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.87142,0,2.65596,2.00345,0.787893,2.6265,3,0,2,2.00345,0.787893,1.95805,0,2.29714,0,0.0167278,1.90991,-0.0463685,-0,2.4,0,0.0167278,1.90991,-0.0463685
0.0100262,2.87133,0.0231578,2.65596,2.00362,0.807091,2.62604,2.9999,0.0241947,2,2.00362,0.807091,1.9576,-0.0185262,2.29706,2.28431e-20,0.0170459,1.92959,-0.0427784,-0.0193558,2.39992,0,0.0170459,1.92959,-0.0427784
0.0199576,2.87105,0.0458573,2.65596,2.00379,0.826485,2.6257,2.99962,0.0479108,2,2.00379,0.826485,1.95726,-0.0366858,2.29684,0,0.0173806,1.9492,-0.0211382,-0.0383286,2.39969,0,0.0173806,1.9492,-0.0211382
0.0300039,2.87059,0.0690595,2.65596,2.00396,0.846074,2.6257,2.99913,0.072152,2,2.00396,0.846074,1.95725,-0.0552476,2.29647,0,0.0176746,1.96866,0.0230472,-0.0577216,2.39931,0,0.0176729,1.96866,0.0230472
0.0399779,2.86995,0.0919695,2.65596,2.00414,0.865857,2.62619,2.99846,0.0960879,2,2.00414,0.865857,1.95774,-0.0735756,2.29596,0,0.018527,1.98779,0.0741988,-0.0768703,2.39877,0,0.0179307,1.98789,0.0741988
0.0500132,2.86911,0.115053,2.65596,2.00435,0.885825,2.62708,2.99759,0.120205,2,2.00432,0.885832,1.95863,-0.0920421,2.29529,-9.13725e-20,0.0227811,2.00541,0.099817,-0.0961637,2.39807,0,0.0181905,2.00706,0.0998172
0.0599772,2.86808,0.138357,2.65596,2.00462,0.905949,2.62816,2.99652,0.144552,2,2.00451,0.905998,1.95972,-0.110685,2.29447,0,0.0329124,2.01836,0.11702,-0.115642,2.39721,0,0.0183952,2.02607,0.117023
0.0700166,2.86688,0.161311,2.65596,2.00503,0.926169,2.62943,2.99526,0.168534,2,2.00469,0.926353,1.96099,-0.129048,2.29351,0,0.0500809,2.02442,0.137815,-0.134827,2.39621,0,0.0186925,2.0449,0.137836
0.0800157,2.86551,0.184089,2.65596,2.00563,0.946422,2.6309,2.99383,0.192333,2,2.00488,0.946895,1.96246,-0.147271,2.29241,-1.82745e-19,0.0708245,2.02588,0.154458,-0.153866,2.39506,0,0.0190729,2.06363,0.154543
0.0901145,2.86391,0.207519,2.65596,2.00644,0.966683,2.63246,2.99216,0.216812,2,2.00507,0.967625,1.96402,-0.166016,2.29113,0,0.0898643,2.02611,0.154758,-0.17345,2.39372,0,0.0194976,2.08226,0.154981
0.0999996,2.86217,0.230327,2.65596,2.00743,0.986935,2.63399,2.99033,0.240641,2,2.00527,0.988541,1.96555,-0.184261,2.28973,3.6549e-19,0.108623,2.02352,0.151064,-0.192512,2.39227,0,0.0201509,2.10089,0.151536
0.109987,2.86026,0.252924,2.65596,2.00861,1.00714,2.63549,2.98834,0.26425,2,2.00548,1.00964,1.96705,-0.202339,2.28821,0,0.128119,2.01686,0.148517,-0.2114,2.39067,0,0.020949,2.11932,0.149403
