time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,0,0,2.66845,2.00312,0.0498136,2.61736,0,0,2,2.00312,0.0498136,1.94891,2.29518,1.98071,0,0.00980744,0.123707,-0.0635827,2.4,2.4,0,0.00980744,0.123707,-0.0635827
0.00979834,0.0222045,0.0191617,2.66843,2.00322,0.0510573,2.61673,0.0232186,0.0232179,2,2.00322,0.0510573,1.94828,2.29512,1.9805,-0.00270287,0.00992315,0.125044,-0.0619516,2.39993,2.39971,0,0.00992315,0.125044,-0.0619516
0.0197264,0.0448402,0.0386924,2.66839,2.00332,0.0523145,2.61617,0.0468879,0.0468822,2,2.00332,0.0523145,1.94773,2.29492,1.97984,-0.00545483,0.0100518,0.126385,-0.044842,2.39971,2.39883,0,0.0100518,0.126385,-0.044842
0.0297585,0.0679779,0.0586495,2.66832,2.00342,0.053585,2.61591,0.0710819,0.0710619,2,2.00344,0.0538406,1.94746,2.29459,1.97872,-0.00826069,0.010187,0.127709,-0.00498126,2.39933,2.39731,0,0.010215,0.127972,0.00526691
0.0398043,0.0909255,0.0784325,2.66823,2.00352,0.0548687,2.61612,0.0950767,0.095029,2,2.00352,0.0548686,1.94767,2.29413,1.97714,-0.0110328,0.0100254,0.129069,0.0472479,2.39879,2.39518,0,0.0103252,0.129026,0.0472479
0.0497618,0.114071,0.0983728,2.6681,2.00361,0.0561695,2.61677,0.119278,0.119184,2,2.00363,0.0561655,1.94833,2.29352,1.9751,-0.0138143,0.00707938,0.13146,0.0782625,2.3981,2.39241,0,0.0104798,0.130363,0.0782626
0.059833,0.137134,0.118224,2.66795,2.00365,0.0575104,2.61763,0.143392,0.143228,2,2.00373,0.0574758,1.94919,2.29279,1.97259,-0.0165678,-0.00122521,0.137598,0.093505,2.39726,2.38903,0,0.0106141,0.131702,0.0935069
0.0697772,0.159896,0.137797,2.66777,2.00357,0.0589421,2.61864,0.167191,0.166931,2,2.00384,0.0587998,1.95019,2.29193,1.96967,-0.0192642,-0.0163347,0.149818,0.107996,2.39627,2.38509,0,0.010722,0.13309,0.108011
0.0797832,0.182888,0.157544,2.66756,2.0033,0.060523,2.61979,0.19123,0.190841,2,2.00397,0.0604071,1.95158,2.29092,1.96626,-0.0219631,-0.036769,0.166807,0.119827,2.39512,2.3805,0,0.0107926,0.134815,0.120589
0.0897529,0.205857,0.177244,2.66733,2.00283,0.0622823,2.62098,0.215243,0.214688,2,2.00406,0.0614903,1.95254,2.28978,1.96239,-0.0246309,-0.0580041,0.185325,0.118087,2.39381,2.37529,0,0.0107822,0.135977,0.118272
0.0997736,0.228773,0.196867,2.66707,2.00214,0.0642401,2.62214,0.239198,0.238437,2,2.00416,0.0628575,1.9537,2.28851,1.95808,-0.0272608,-0.0809533,0.206883,0.113648,2.39236,2.36948,0,0.010672,0.137484,0.11407
0.109744,0.252068,0.216781,2.66678,2.0012,0.0664335,2.62326,0.26355,0.262531,2,2.00427,0.0642403,1.95483,2.28708,1.95322,-0.0298986,-0.106332,0.232497,0.111121,2.39072,2.36296,0,0.0104042,0.139086,0.111963
0.119767,0.274528,0.235943,2.66647,1.99973,0.0694348,2.62459,0.287027,0.28571,2,2.00439,0.0659219,1.95617,2.28556,1.94808,-0.0324044,-0.13927,0.268771,0.110032,2.38899,2.35606,0,0.00981682,0.141226,0.111742
0.129744,0.297272,0.255308,2.66614,1.99852,0.0716938,2.62547,0.3108,0.309127,2,2.00447,0.067058,1.95707,2.2839,1.94243,-0.0349016,-0.162253,0.296442,0.11032,2.38709,2.34848,0,0.00923179,0.142833,0.11291
0.139758,0.320566,0.275096,2.66577,1.99676,0.0748466,2.62658,0.335145,0.333047,2,2.00455,0.0684973,1.95821,2.28205,1.93617,-0.0374138,-0.191428,0.334841,0.111028,2.38498,2.34009,0,0.00824701,0.145073,0.11516
0.149798,0.343196,0.294271,2.66539,1.99425,0.079169,2.62791,0.358794,0.356219,2,2.00463,0.0699606,1.95937,2.28011,1.92962,-0.0398074,-0.22641,0.386584,0.112011,2.38277,2.33134,0,0.00696879,0.147642,0.118133
0.159817,0.366375,0.313861,2.66497,1.99235,0.0824113,2.62881,0.383017,0.379882,2,2.00469,0.0714513,1.96057,2.27799,1.92244,-0.0422083,-0.249389,0.424447,0.11243,2.38036,2.32176,0,0.00535317,0.150572,0.121628
0.169711,0.388845,0.332796,2.66454,1.98971,0.0869078,2.62994,0.406495,0.402746,2,2.00474,0.0729734,1.96181,2.2758,1.91502,-0.0444837,-0.277415,0.475508,0.112398,2.37787,2.31187,0,0.00336677,0.15391,0.12542
0.179825,0.411846,0.352121,2.66408,1.9868,0.091935,2.63106,0.430527,0.42607,2,2.00476,0.0745312,1.96308,2.27341,1.90696,-0.0467573,-0.304368,0.530581,0.111301,2.37516,2.30115,0,0.000975148,0.15774,0.129224
0.189731,0.434365,0.370979,2.6636,1.98363,0.0975329,2.63216,0.454053,0.448822,2,2.00475,0.0761301,1.96439,2.27094,1.8986,-0.0489262,-0.33004,0.589617,0.108965,2.37235,2.29005,0,-0.00187738,0.162142,0.133049
0.199787,0.457339,0.390152,2.6631,1.9802,0.103741,2.63323,0.478051,0.471942,2,2.00472,0.0777764,1.96574,2.26827,1.8896,-0.0510779,-0.354369,0.652607,0.105715,2.36933,2.27812,0,-0.00523172,0.167248,0.137418
0.209836,0.480162,0.40913,2.66257,1.97654,0.110596,2.63427,0.50189,0.494817,2,2.00465,0.0794776,1.96714,2.26548,1.88019,-0.0531524,-0.377183,0.718893,0.101603,2.36618,2.26566,0,-0.00913771,0.173122,0.142565
0.219753,0.502134,0.42733,2.66205,1.97267,0.118126,2.63526,0.524837,0.516743,2,2.00451,0.0816029,1.9689,2.26266,1.87067,-0.0550877,-0.398263,0.787579,0.0966228,2.36299,2.25309,0,-0.0146363,0.181326,0.14996
0.229776,0.524841,0.446065,2.66149,1.96859,0.126353,2.6362,0.54855,0.539302,2,2.00437,0.0830781,1.97012,2.2596,1.86038,-0.0570221,-0.417389,0.857865,0.0908794,2.35954,2.23952,0,-0.0188295,0.187604,0.155839
0.239849,0.547856,0.464972,2.66089,1.96433,0.135286,2.63708,0.572581,0.562056,2,2.00416,0.0849974,1.97172,2.25635,1.84945,-0.0589124,-0.434382,0.928826,0.0843465,2.35588,2.22515,0,-0.0247172,0.196439,0.164224
0.249743,0.56986,0.482968,2.66031,1.95901,0.146943,2.63804,0.595555,0.583702,2,2.00388,0.0870111,1.97341,2.25311,1.83855,-0.0606517,-0.451734,1.01394,0.0755156,2.35223,2.21083,0,-0.0313396,0.206522,0.173854
0.25981,0.593155,0.50193,2.65967,1.95535,0.15528,2.63862,0.619874,0.606497,2,2.00353,0.0891325,1.9752,2.24952,1.82651,-0.0624185,-0.461377,1.07024,0.069147,2.34821,2.19507,0,-0.0387198,0.218001,0.184813
0.269735,0.615258,0.519833,2.65905,1.95069,0.166329,2.63927,0.642945,0.628006,2,2.0031,0.0913761,1.97711,2.24598,1.81462,-0.0640225,-0.471187,1.13936,0.0603883,2.34424,2.17953,0,-0.0468763,0.230976,0.196798
0.279824,0.637584,0.537824,2.65841,1.94594,0.178061,2.63982,0.666246,0.649608,2,2.00259,0.0937575,1.97914,2.24225,1.80214,-0.0655695,-0.478458,1.20675,0.0508902,2.34007,2.16326,0,-0.0558358,0.245588,0.209773
0.289718,0.660263,0.556001,2.65774,1.94113,0.190458,2.64028,0.689913,0.671421,2,2.00198,0.0962937,1.98131,2.23832,1.78898,-0.0670642,-0.483165,1.27213,0.0408261,2.33567,2.14614,0,-0.0656276,0.261963,0.223731
0.299997,0.683219,0.574295,2.65704,1.93628,0.203496,2.64064,0.713866,0.693361,2,2.00127,0.0990031,1.98362,2.23418,1.77516,-0.0684968,-0.485306,1.33519,0.0303184,2.33106,2.12821,0,-0.0762421,0.280221,0.238564
0.309833,0.704891,0.591465,2.65637,1.93143,0.217153,2.64089,0.736476,0.713939,2,2.00045,0.101905,1.98608,2.23014,1.76165,-0.0697739,-0.484907,1.39562,0.0194532,2.32656,2.11072,0,-0.0876738,0.300414,0.254084
0.319824,0.727191,0.609026,2.65567,1.92659,0.231399,2.64103,0.759739,0.734973,2,1.99951,0.105018,1.9887,2.22582,1.74728,-0.0710106,-0.481988,1.45315,0.00827398,2.32176,2.09216,0,-0.0998887,0.32262,0.270016
0.329819,0.749213,0.626258,2.65496,1.9218,0.246206,2.64105,0.782709,0.7556,2,1.99845,0.108364,1.99148,2.22142,1.73261,-0.0721537,-0.476596,1.50759,-0.00313,2.31688,2.07326,0,-0.11284,0.346901,0.286099
0.339909,0.771923,0.643909,2.65421,1.91707,0.26154,2.64096,0.806392,0.776715,2,1.99726,0.111963,1.99442,2.21672,1.717,-0.0732502,-0.468793,1.55872,-0.0147146,2.31167,2.05319,0,-0.126457,0.373253,0.302001
0.349852,0.793698,0.660718,2.65349,1.91243,0.27737,2.64076,0.829099,0.796808,2,1.99592,0.115836,1.99752,2.21206,1.70155,-0.0742222,-0.458611,1.6066,-0.0260203,2.30653,2.03338,0,-0.140714,0.40176,0.317807
0.359754,0.815556,0.677471,2.65275,1.9079,0.293662,2.64044,0.85189,0.816822,2,1.99444,0.120006,2.00078,2.20724,1.68558,-0.0751191,-0.446106,1.65127,-0.036821,2.3012,2.01295,0,-0.155566,0.432482,0.33336
0.369694,0.837642,0.694274,2.65199,1.90351,0.310384,2.64003,0.874914,0.836881,2,1.99281,0.124493,2.00419,2.20221,1.66896,-0.0759446,-0.431344,1.6927,-0.0468837,2.29567,1.99175,0,-0.170955,0.465402,0.348491
0.379701,0.859698,0.710923,2.65123,1.89928,0.327505,2.63951,0.897905,0.856743,2,1.99102,0.129321,2.00774,2.19704,1.65188,-0.0766873,-0.41439,1.73086,-0.0560795,2.28998,1.97001,0,-0.18679,0.500505,0.36293
0.389862,0.882122,0.727713,2.65044,1.89523,0.344991,2.63891,0.921276,0.87676,2,1.98907,0.13451,2.01144,2.19162,1.63402,-0.0773584,-0.395326,1.76568,-0.0643163,2.28403,1.94733,0,-0.202983,0.537669,0.376379
0.399863,0.903809,0.743814,2.64967,1.89139,0.362808,2.63823,0.943876,0.895942,2,1.98696,0.140082,2.01527,2.18622,1.61627,-0.0779264,-0.374154,1.79725,-0.0712423,2.27812,1.92485,0,-0.219479,0.576884,0.388804
0.409976,0.926013,0.760156,2.64887,1.88776,0.380925,2.63749,0.967011,0.915397,2,1.98468,0.146055,2.01921,2.18053,1.5976,-0.0784251,-0.350866,1.82562,-0.0765237,2.2719,1.90127,0,-0.236213,0.618122,0.400155
0.4197,0.947085,0.775527,2.64811,1.88437,0.399309,2.6367,0.988965,0.933683,2,1.98223,0.15245,2.02327,2.17498,1.57943,-0.0788208,-0.325554,1.85073,-0.0802216,2.26584,1.87837,0,-0.253045,0.661196,0.410038
0.429738,0.968995,0.791362,2.64732,1.88066,0.421676,2.63572,1.01179,0.952509,2,1.97908,0.160704,2.02824,2.16906,1.56006,-0.0791518,-0.292833,1.87633,-0.0831446,2.25939,1.85402,0,-0.273141,0.714827,0.419031
0.439673,0.990363,0.806657,2.64653,1.87788,0.44053,2.63488,1.03405,0.970679,2,1.97684,0.166569,2.03161,2.16312,1.54069,-0.0793958,-0.263794,1.89392,-0.0844545,2.25293,1.82973,0,-0.286367,0.75159,0.423026
0.449724,1.01248,0.822328,2.64572,1.87586,0.45573,2.6342,1.05708,0.989283,2,1.97389,0.174319,2.03586,2.15681,1.52016,-0.0795663,-0.239385,1.90562,-0.0843386,2.24607,1.80404,0,-0.302639,0.798645,0.425927
0.459895,1.03451,0.837768,2.64491,1.87363,0.474847,2.63336,1.08002,1.0076,2,1.97079,0.182544,2.04012,2.15035,1.49921,-0.0796533,-0.207852,1.9172,-0.0838352,2.23908,1.7779,0,-0.318417,0.846419,0.425652
0.469762,1.05521,0.852124,2.64414,1.87171,0.494063,2.63253,1.10157,1.02462,2,1.96686,0.193049,2.04521,2.14413,1.47907,-0.0796598,-0.175098,1.92553,-0.0823576,2.23235,1.75283,0,-0.336656,0.904635,0.421468
0.479869,1.07687,0.866986,2.64333,1.87013,0.513347,2.63172,1.12413,1.04223,2,1.96412,0.200443,2.04856,2.13745,1.45751,-0.0795888,-0.140944,1.93072,-0.0791401,2.22514,1.72605,0,-0.348417,0.944084,0.416817
0.489784,1.09813,0.881397,2.64254,1.86889,0.532667,2.63095,1.14626,1.05929,2,1.96056,0.210131,2.05269,2.13074,1.43589,-0.0794421,-0.105718,1.93279,-0.074954,2.2179,1.69925,0,-0.362468,0.993621,0.408186
0.499783,1.1193,0.895576,2.64175,1.86802,0.551992,2.63022,1.16829,1.07606,2,1.95687,0.220316,2.05671,2.12389,1.41389,-0.0792204,-0.0696013,1.9318,-0.0699404,2.21053,1.67205,0,-0.375761,1.04324,0.396508
0.509818,1.14064,0.909693,2.64096,1.86751,0.571293,2.62955,1.1905,1.09275,2,1.95305,0.230996,2.06061,2.11682,1.39123,-0.078921,-0.032605,1.92785,-0.0638626,2.20294,1.64411,0,-0.388269,1.09293,0.382046
0.519767,1.16148,0.923302,2.64018,1.86737,0.59054,2.62895,1.21219,1.10883,2,1.94911,0.242173,2.06434,2.10975,1.36865,-0.0785554,0.00497262,1.92105,-0.0572478,2.19536,1.61632,0,-0.399914,1.14237,0.364588
0.529694,1.18223,0.93667,2.63941,1.8677,0.613525,2.62831,1.23377,1.12461,2,1.94505,0.253843,2.06789,2.10255,1.34572,-0.0781201,0.0508601,1.9092,-0.04817,2.18765,1.58816,0,-0.410702,1.19164,0.344569
