quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
0,0,5.12111,0.119759,0,0,0,0
0.0227978,0.0196737,5.14763,0.145978,0.023839,0.0238382,5.12365,0.122273
0.045777,0.0395005,5.20231,0.200129,0.0478675,0.0478614,5.14763,0.145978
0.0688894,0.0594355,5.23536,0.232899,0.072035,0.0720142,5.20231,0.200129
0.0916874,0.0790892,5.24686,0.244316,0.0958734,0.0958244,5.23878,0.236299
0.114574,0.0988058,5.2586,0.255974,0.119804,0.119708,5.24686,0.244316
0.137713,0.118722,5.27058,0.267871,0.143997,0.143831,5.2586,0.255974
0.160471,0.138291,5.30776,0.304934,0.167792,0.167529,5.27058,0.267871
0.183673,0.158217,5.32043,0.317683,0.192049,0.191656,5.30789,0.304947
0.206385,0.177696,5.33314,0.330567,0.215794,0.215235,5.32077,0.317756
0.229666,0.197631,5.34584,0.343569,0.240132,0.239361,5.33387,0.330788
0.252133,0.216836,5.35851,0.356683,0.263618,0.262598,5.34719,0.344042
0.274984,0.236332,5.40825,0.410219,0.287504,0.286181,5.36073,0.357512
0.298372,0.256244,5.42058,0.423848,0.311949,0.310258,5.41699,0.413529
0.320618,0.27514,5.43281,0.437508,0.335199,0.3331,5.43159,0.428059
0.343476,0.294508,5.44485,0.451149,0.359087,0.356506,5.44638,0.442796
0.366405,0.313886,5.45661,0.464767,0.383048,0.379913,5.46138,0.457736
0.389203,0.333097,5.46799,0.478369,0.406869,0.40311,5.47656,0.472873
0.412188,0.352407,5.47884,0.491962,0.430884,0.426416,5.49192,0.488204
0.434687,0.371249,5.48901,0.505556,0.454389,0.449147,5.50746,0.503723
0.457971,0.390679,5.49836,0.519174,0.478712,0.472578,5.52315,0.51942
0.480462,0.409379,5.5067,0.53285,0.502204,0.495117,5.53897,0.535288
0.503073,0.428106,5.5139,0.546625,0.525818,0.517678,5.5549,0.551316
0.525611,0.446698,5.51978,0.560546,0.549354,0.540065,5.57092,0.567492
0.548476,0.46548,5.5242,0.574671,0.573229,0.562667,5.58698,0.583801
0.571579,0.484371,5.52704,0.58906,0.59735,0.585388,5.60306,0.600231
0.593601,0.502292,5.52818,0.603781,0.620339,0.606932,5.61911,0.616769
0.616334,0.520702,5.5275,0.618901,0.644068,0.62905,5.63507,0.633406
0.639088,0.539032,5.52494,0.634484,0.667815,0.651059,5.65089,0.650131
0.661315,0.556842,5.52058,0.650569,0.691011,0.67243,5.66651,0.666936
0.68358,0.574582,5.51443,0.667198,0.714243,0.693705,5.68188,0.683814
0.705937,0.592291,5.50646,0.684425,0.737567,0.714929,5.69693,0.700759
0.728377,0.609956,5.49664,0.702302,0.760976,0.736087,5.71157,0.717765
0.7507,0.627418,5.48521,0.720791,0.78426,0.756987,5.72569,0.734825
0.773015,0.644756,5.47244,0.739771,0.807532,0.777727,5.73926,0.751944
0.794744,0.661523,5.45834,0.759124,0.83019,0.797769,5.75221,0.769128
0.816643,0.678301,5.44275,0.778737,0.853022,0.817813,5.76442,0.786377
0.838932,0.695251,5.42567,0.798517,0.876259,0.838047,5.77568,0.803686
0.860751,0.711715,5.40726,0.818419,0.899002,0.857688,5.78581,0.821058
0.882594,0.728064,5.38755,0.8384,0.921767,0.877178,5.79472,0.838502
0.904642,0.74443,5.36657,0.8584,0.944744,0.896675,5.80224,0.856023
0.926716,0.760671,5.34429,0.878336,0.967744,0.91601,5.80818,0.873631
0.948437,0.776509,5.32075,0.898125,0.990374,0.934851,5.81233,0.891333
0.969802,0.791942,5.29618,0.917737,1.01263,0.953198,5.8145,0.909139
0.991664,0.807583,5.27064,0.937125,1.0354,0.971779,5.81463,0.927062
1.01356,0.823086,5.24413,0.95623,1.0582,0.990183,5.81255,0.94511
1.03485,0.838011,5.21671,0.975007,1.08038,1.00789,5.80808,0.963292
1.05608,0.85273,5.18849,0.993426,1.10248,1.02534,5.80104,0.981615
1.07782,0.867628,5.15952,1.01144,1.12511,1.04299,5.79134,1.00009
1.099,0.881981,5.12986,1.029,1.14716,1.05998,5.77884,1.0187
1.12038,0.896297,5.0996,1.04611,1.16942,1.07691,5.76341,1.03748
1.14145,0.910225,5.0688,1.06272,1.19134,1.09338,5.74501,1.05639
1.16247,0.923939,5.03752,1.07883,1.21321,1.10958,5.7236,1.07546
1.18357,0.937529,5.0058,1.09441,1.23517,1.12562,5.69919,1.09465
1.20455,0.950851,4.9737,1.10947,1.257,1.14134,5.67183,1.11398
1.22557,0.964007,4.94128,1.12399,1.27887,1.15685,5.64158,1.13341
1.24664,0.976995,4.90862,1.13802,1.30079,1.17215,5.6086,1.15295
1.26705,0.98938,4.87575,1.15154,1.32201,1.18673,5.57306,1.17257
1.28776,1.00175,4.84269,1.16453,1.34355,1.20128,5.53511,1.19225
1.3092,1.01434,4.80945,1.17699,1.36585,1.21608,5.49491,1.21199
1.32909,1.02581,4.77606,1.18892,1.38654,1.22956,5.45265,1.23175
1.34934,1.03728,4.74255,1.20031,1.40759,1.24303,5.40851,1.25154
1.37041,1.049,4.70894,1.21115,1.42949,1.25678,5.36268,1.27133
1.39025,1.05981,4.67526,1.22144,1.45012,1.26946,5.31537,1.29111
1.41003,1.07037,4.64156,1.23119,1.47069,1.28184,5.26677,1.31087
1.43047,1.08106,4.60788,1.24038,1.49193,1.29436,5.21705,1.33058
1.45063,1.09137,4.57425,1.24904,1.51289,1.30643,5.16641,1.35025
1.47032,1.10121,4.54072,1.25715,1.53336,1.31794,5.115,1.36986
1.49028,1.11095,4.50733,1.26474,1.55411,1.32932,5.06297,1.3894
1.50995,1.1203,4.47413,1.27179,1.57455,1.34025,5.01046,1.40887
