time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.8412,-0.360496,2.65218,2.8445,-0.337254,2.64062,2.96766,-0.434569,2,2.9154,-0.388244,1.9779,-0.328795,-1.91003,-0.0395684,-0.386578,-1.89991,-0.0166965,-0.351444,-2.29707,0,-0.0489126,-2.33785,0.0531233
0.00998175,2.83781,-0.379629,2.65177,2.84055,-0.356215,2.64042,2.96404,-0.457576,2,2.91486,-0.411574,1.97843,-0.346713,-1.90121,-0.0413633,-0.402543,-1.89214,-0.0230644,-0.370502,-2.28561,0,-0.0594716,-2.32803,0.0518943
0.0199644,2.83428,-0.398465,2.65135,2.83645,-0.375095,2.64016,2.96026,-0.480215,2,2.91421,-0.434802,1.97894,-0.364426,-1.89203,-0.0430843,-0.418479,-1.88391,-0.0287214,-0.389329,-2.27369,0,-0.0706127,-2.31753,0.0513428
0.0300698,2.83042,-0.417958,2.6509,2.83219,-0.393891,2.63985,2.95614,-0.503635,2,2.91344,-0.457922,1.97946,-0.38284,-1.88199,-0.0448148,-0.434373,-1.87523,-0.0337928,-0.408886,-2.26068,0,-0.0823348,-2.30635,0.0513257
0.0399745,2.82667,-0.435933,2.65046,2.82776,-0.412598,2.63949,2.95214,-0.525223,2,2.91256,-0.480927,1.97997,-0.3999,-1.87225,-0.0463631,-0.450206,-1.86608,-0.0383908,-0.426991,-2.24807,0,-0.0946354,-2.2945,0.0517131
0.050018,2.82255,-0.454743,2.64999,2.82318,-0.431212,2.63908,2.94774,-0.547804,2,2.91155,-0.50381,1.98049,-0.417838,-1.86154,-0.0479323,-0.465951,-1.85647,-0.0425857,-0.446012,-2.23423,0,-0.107514,-2.28198,0.0524135
0.0599748,2.8183,-0.473243,2.6495,2.81844,-0.449726,2.63863,2.9432,-0.570002,2,2.91041,-0.526564,1.98102,-0.435572,-1.85048,-0.0494225,-0.481593,-1.84642,-0.0464338,-0.464802,-2.21997,0,-0.120971,-2.2688,0.0533503
0.0699816,2.81386,-0.491643,2.649,2.81355,-0.468138,2.63815,2.93847,-0.592071,2,2.90913,-0.549184,1.98156,-0.453305,-1.83896,-0.0508504,-0.497134,-1.83591,-0.0499845,-0.483575,-2.20513,0,-0.135004,-2.25497,0.0544562
0.0799676,2.80914,-0.510384,2.64848,2.8085,-0.486443,2.63764,2.93343,-0.614539,2,2.90771,-0.571662,1.98211,-0.47147,-1.82667,-0.0522469,-0.512567,-1.82494,-0.0532875,-0.502788,-2.18934,0,-0.149611,-2.2405,0.0556636
0.0900181,2.80438,-0.528431,2.64795,2.8033,-0.504636,2.63709,2.92835,-0.636163,2,2.90613,-0.593992,1.98267,-0.489066,-1.8143,-0.0535344,-0.527867,-1.81352,-0.0563616,-0.521382,-2.17347,0,-0.164789,-2.22539,0.0569319
0.100068,2.79938,-0.54658,2.64741,2.79794,-0.522712,2.63651,2.92302,-0.657901,2,2.90441,-0.616168,1.98325,-0.50687,-1.80131,-0.0547706,-0.543038,-1.80165,-0.0592158,-0.540181,-2.15684,0,-0.180538,-2.20966,0.0582322
0.109999,2.79424,-0.564448,2.64686,2.79244,-0.540667,2.6359,2.91755,-0.67929,2,2.90252,-0.638183,1.98384,-0.524509,-1.78797,-0.055928,-0.558091,-1.78933,-0.0618659,-0.558788,-2.1398,0,-0.196855,-2.19331,0.0595331
0.120021,2.78894,-0.58217,2.6463,2.78678,-0.558497,2.63527,2.9119,-0.700493,2,2.90047,-0.660032,1.98444,-0.542121,-1.77419,-0.0570155,-0.573023,-1.77655,-0.0643442,-0.577349,-2.12222,0,-0.213732,-2.17634,0.0607865
0.129985,2.7834,-0.599922,2.64572,2.78098,-0.576194,2.63462,2.90601,-0.721723,2,2.89824,-0.681706,1.98505,-0.559884,-1.75982,-0.0580427,-0.587749,-1.76278,-0.0666094,-0.596053,-2.10393,0,-0.231104,-2.15825,0.0620125
0.139962,2.77778,-0.617231,2.64514,2.77503,-0.593751,2.63394,2.90003,-0.74241,2,2.89584,-0.703194,1.98568,-0.577327,-1.74524,-0.0589822,-0.602306,-1.74842,-0.0686828,-0.614402,-2.08542,0,-0.249006,-2.13941,0.0631713
0.150119,2.77173,-0.635156,2.64453,2.76893,-0.611161,2.63324,2.89359,-0.763824,2,2.89326,-0.724492,1.98632,-0.595527,-1.72955,-0.0598886,-0.61673,-1.73363,-0.070588,-0.63353,-2.06553,0,-0.267451,-2.12002,0.0642262
0.15999,2.76583,-0.651983,2.64394,2.76269,-0.628422,2.63253,2.88731,-0.783914,2,2.89049,-0.745593,1.98696,-0.612745,-1.71424,-0.060676,-0.631012,-1.7184,-0.0723448,-0.651608,-2.04617,0,-0.286419,-2.10005,0.0651415
0.169994,2.75967,-0.668886,2.64333,2.75631,-0.645528,2.6318,2.88077,-0.804085,2,2.88753,-0.766491,1.98762,-0.630176,-1.69828,-0.0614029,-0.645135,-1.70275,-0.0739288,-0.669892,-2.02604,0,-0.3059,-2.07953,0.0659246
0.180005,2.75313,-0.686188,2.6427,2.74979,-0.662475,2.63105,2.87381,-0.824721,2,2.88437,-0.787182,1.98828,-0.648167,-1.68133,-0.0620787,-0.659109,-1.68665,-0.0753336,-0.688747,-2.00469,0,-0.325888,-2.05845,0.0665699
0.190001,2.74663,-0.702751,2.64208,2.74313,-0.67926,2.63029,2.8669,-0.844464,2,2.88101,-0.807659,1.98895,-0.665539,-1.6645,-0.0626589,-0.672955,-1.67013,-0.0765757,-0.706935,-1.98354,0,-0.346377,-2.03685,0.0670537
0.200058,2.7399,-0.719279,2.64145,2.73633,-0.695876,2.62952,2.85976,-0.864153,2,2.87744,-0.827917,1.98962,-0.683026,-1.6471,-0.0631707,-0.686693,-1.65314,-0.0776602,-0.725225,-1.96171,0,-0.36736,-2.01469,0.0673654
0.210004,2.73293,-0.735776,2.64082,2.7294,-0.712321,2.62874,2.85236,-0.883796,2,2.87366,-0.847951,1.9903,-0.700642,-1.62909,-0.0636128,-0.70032,-1.6357,-0.0785993,-0.743634,-1.93917,0,-0.388813,-1.99203,0.0674891
0.22002,2.72582,-0.752005,2.64018,2.72233,-0.728589,2.62795,2.84482,-0.903109,2,2.86967,-0.867756,1.99097,-0.718137,-1.61074,-0.0639785,-0.713812,-1.61783,-0.079384,-0.761898,-1.91626,0,-0.410719,-1.96888,0.0674225
0.229989,2.7185,-0.768125,2.63953,2.71512,-0.744676,2.62715,2.83706,-0.922281,2,2.86545,-0.887327,1.99164,-0.735685,-1.59187,-0.0642718,-0.727185,-1.59949,-0.080014,-0.780201,-1.89274,0,-0.433077,-1.94522,0.0671608
0.239984,2.71121,-0.783632,2.6389,2.70778,-0.760577,2.62635,2.82932,-0.940714,2,2.861,-0.906659,1.99231,-0.752736,-1.57308,-0.0644861,-0.740462,-1.58071,-0.0804812,-0.797969,-1.86937,0,-0.455866,-1.92108,0.0667156
0.250064,2.70347,-0.799521,2.63824,2.70031,-0.776289,2.62554,2.82112,-0.95959,2,2.85633,-0.925747,1.99298,-0.77039,-1.55315,-0.0646346,-0.753672,-1.56147,-0.0808118,-0.816348,-1.84465,0,-0.47909,-1.89647,0.0660646
0.259973,2.6958,-0.814728,2.63761,2.69271,-0.791805,2.62473,2.81299,-0.977647,2,2.85142,-0.944587,1.99363,-0.787471,-1.53342,-0.0647071,-0.766796,-1.54176,-0.0809981,-0.834114,-1.82021,0,-0.502735,-1.87141,0.0652115
0.27005,2.68778,-0.830059,2.63696,2.68498,-0.807122,2.62392,2.8045,-0.995839,2,2.84627,-0.963173,1.99428,-0.804882,-1.51284,-0.0647091,-0.779833,-1.52156,-0.0810412,-0.852207,-1.79479,0,-0.526767,-1.84585,0.0641599
0.280173,2.67944,-0.845459,2.63629,2.67711,-0.822235,2.62311,2.79567,-1.0141,2,2.84088,-0.981502,1.99492,-0.822577,-1.49146,-0.064637,-0.792807,-1.5008,-0.0809613,-0.870579,-1.76841,0,-0.551172,-1.81976,0.0629
0.290012,2.67142,-0.859761,2.63567,2.66912,-0.837137,2.6223,2.78718,-1.03106,2,2.83525,-0.999567,1.99554,-0.839207,-1.47092,-0.0645012,-0.805704,-1.47957,-0.0807454,-0.887829,-1.74313,0,-0.575922,-1.79324,0.0614493
