time_sec,quad_ref_x,quad_ref_y,quad_ref_z,quad_actual_x,quad_actual_y,quad_actual_z,payload_ref_x,payload_ref_y,payload_ref_z,payload_actual_x,payload_actual_y,payload_actual_z,quad_ref_vx,quad_ref_vy,quad_ref_vz,quad_actual_vx,quad_actual_vy,quad_actual_vz,payload_ref_vx,payload_ref_vy,payload_ref_vz,payload_actual_vx,payload_actual_vy,payload_actual_vz
0,2.84112,-0.360935,3.29217,2.84704,-0.337329,3.2804,2.96758,-0.435097,2.64,2.91094,-0.365833,2.61563,-0.329205,-1.90983,-0.0396101,-0.383364,-1.88702,-0.0316926,-0.35188,-2.29682,0,-0.0765319,-2.36009,0.0180881
0.0100414,2.83777,-0.379816,3.29177,2.84312,-0.356159,3.28005,2.964,-0.4578,2.64,2.91013,-0.389401,2.61581,-0.346888,-1.90112,-0.0413806,-0.399906,-1.87891,-0.0371454,-0.370688,-2.28549,0,-0.0861263,-2.35344,0.0182573
0.0199423,2.83425,-0.398602,3.29135,2.83904,-0.374905,3.27966,2.96024,-0.48038,2.64,2.90922,-0.412899,2.61599,-0.364555,-1.89196,-0.0430966,-0.416427,-1.87035,-0.0419364,-0.389466,-2.2736,0,-0.0962592,-2.34606,0.0191542
0.0299926,2.83044,-0.417872,3.2909,2.83479,-0.393564,3.27922,2.95616,-0.503532,2.64,2.9082,-0.43632,2.61619,-0.382758,-1.88204,-0.0448073,-0.432908,-1.86136,-0.0461914,-0.408799,-2.26074,0,-0.106933,-2.33795,0.0206343
0.0399628,2.82659,-0.436298,3.29046,2.83038,-0.412131,3.27874,2.95206,-0.525661,2.64,2.90708,-0.459656,2.61641,-0.400247,-1.87205,-0.046394,-0.44933,-1.85194,-0.0500175,-0.427358,-2.2478,0,-0.118149,-2.3291,0.0225714
0.049954,2.82246,-0.455133,3.28998,2.8258,-0.430602,3.27822,2.94765,-0.548272,2.64,2.90584,-0.4829,2.61665,-0.418212,-1.86131,-0.0479643,-0.465666,-1.84209,-0.0534867,-0.446408,-2.23393,0,-0.129911,-2.31951,0.0248713
0.0599405,2.81822,-0.473564,3.2895,2.82107,-0.448972,3.27767,2.94312,-0.570388,2.64,2.90448,-0.506044,2.61691,-0.435881,-1.85029,-0.0494479,-0.4819,-1.83182,-0.0566551,-0.465129,-2.21971,0,-0.142221,-2.30918,0.0274551
0.0699678,2.81378,-0.491988,3.28899,2.81617,-0.467237,3.27709,2.93838,-0.592485,2.64,2.90299,-0.529081,2.6172,-0.453639,-1.83874,-0.0508766,-0.498032,-1.82113,-0.0595681,-0.483927,-2.20485,0,-0.155082,-2.29811,0.0302567
0.0799891,2.80912,-0.510463,3.28847,2.81111,-0.485393,3.27648,2.93341,-0.614633,2.64,2.90137,-0.552003,2.61751,-0.471547,-1.82662,-0.0522527,-0.514056,-1.81002,-0.0622699,-0.502869,-2.18927,0,-0.168495,-2.2863,0.0332102
0.0899486,2.80434,-0.528562,3.28795,2.80589,-0.503436,3.27584,2.92832,-0.636321,2.64,2.89962,-0.574804,2.61786,-0.489194,-1.8142,-0.0535436,-0.529946,-1.79849,-0.0647809,-0.521518,-2.17335,0,-0.182462,-2.27376,0.0362703
0.0999674,2.79931,-0.546827,3.2874,2.80051,-0.521361,3.27518,2.92295,-0.658196,2.64,2.89772,-0.597476,2.61824,-0.507112,-1.80113,-0.0547869,-0.545699,-1.78655,-0.0671089,-0.540437,-2.15661,0,-0.196983,-2.26048,0.0394045
0.109939,2.79425,-0.564434,3.28686,2.79497,-0.539166,3.2745,2.91756,-0.679272,2.64,2.89568,-0.620012,2.61865,-0.524495,-1.78798,-0.055927,-0.561325,-1.7742,-0.06927,-0.558773,-2.13981,0,-0.21206,-2.24647,0.0425755
0.119961,2.78888,-0.582345,3.28629,2.78928,-0.556844,3.2738,2.91184,-0.700702,2.64,2.89348,-0.642403,2.61909,-0.542295,-1.77405,-0.0570259,-0.576822,-1.76144,-0.071291,-0.577533,-2.12205,0,-0.227688,-2.23174,0.0457348
0.129948,2.78329,-0.600258,3.28571,2.78344,-0.574393,3.27307,2.90589,-0.722124,2.64,2.89112,-0.664644,2.61956,-0.560221,-1.75954,-0.0580615,-0.592163,-1.74825,-0.0731651,-0.596408,-2.10358,0,-0.243868,-2.21628,0.0488629
